Brand,Price,Processor Type,SSD Capacity,RAM (System Memory),Graphics Card,Graphics Card Capacity,Operating System,Graphics Card Memory Type,Graphics Card Type,Warranty Type,RAM (System Memory) Type,Processor Core Count,Processor Generation,Processor Model,Usage Purpose,GPU Memory,Base Processor Speed (GHz),Connections,Screen Size,Maximum Expandable Memory
XASER,13716.9,Intel Core i5,512 GB,16 GB,AMD Radeon RX 550,512 GB,Free Dos (No Operating System),GDDR5,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,3rd Generation,3470,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
DMC,13678.0,Intel Core i5,512 GB,16 GB,Nvidia Geforce GT 740,256 GB,Windows,DDR3,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,3rd Generation,i5-3470,Gaming,4 GB and below,1.8,HDMI,24 inches,64 GB
XASER,12857.74,Intel Core i5,512 GB,16 GB,AMD Radeon RX 580,512 GB,Free Dos (No Operating System),GDDR5,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,4th Generation,4590,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
DMC,20799.0,Intel Core i5,256 GB,32 GB,AMD Radeon RX 580,256 GB,Windows,GDDR5,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",6,12th Generation,9400F,Gaming,8 GB,1.8,HDMI,24 inches,64 GB
XASER,12834.62,Intel Core i5,512 GB,16 GB,AMD Radeon RX 550,512 GB,Free Dos (No Operating System),GDDR5,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,4th Generation,4590,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
Zeiron,13184.0,Intel Core i5,256 GB,16 GB,AMD Radeon RX550,1024 GB,Windows,GDDR5,External,Zeiron Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,24 inches,64 GB
DMC,6331.847499999989,Intel Core i5,4096 GB,16 GB,Intel HD Graphics,256 GB,Windows,Integrated,Integrated,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,12th Generation,2400,Office - Work,Shared,1.8,VGA to HDMI,19 inches,16 GB
Zeiron,8909.01,Intel Core i5,256 GB,16 GB,Intel HD Graphics,500 GB,Windows,Integrated,Integrated,Zeiron Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,3rd Generation,i5-3470,Office - Work,Shared,1.8,HDMI,24 inches,16 GB
DMC,16499.0,Intel Core i5,256 GB,16 GB,Nvidia GeForce GTX 1650,500 GB,Windows,GDDR6,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,12th Generation,i5-3470,Gaming,4 GB and below,1.8,HDMI,24 inches,64 GB
jetucuzal,6390.0,Intel Core i5,4096 GB,16 GB,Intel HD Graphics,256 GB,Free Dos (No Operating System),Integrated,Integrated,Importer Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,2nd Generation,2400,Office - Work,4 GB and below,1.8,VGA to HDMI,19 inches,64 GB
